ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
BN2P,BN2T,250-B17C,2,DA62,,P,BIZLIGHTPROP_F
C130,C130H,501-D22A,4,C130,,T,501 D13 alternative 2
C208,CESSNA 208B 5000,PT6A-140,1,C208,,T,PT6A-135A
C212,C212M 100,TPE331-5-251C,2,JS32,,T,TPE331-5A
C21T,CESSNA 421C TURBO,PT6A,2,PAY1,,T,PT6A-135A
C25A,CESSNA 525A CJ2,FJ44-3A-24,2,C25A,,J,1AS001
C25B,CESSNA 525B CJ3,FJ44-3A,2,C25B,,J,BIZLIGHTJET_F
C25C,CESSNA 525C CJ4,FJ44-4A,2,C25C,,J,BIZLIGHTJET_F
C25M,CESSNA 525 CJ1 M2,FJ44-1AP-21,2,C525,,J,1AS001
C303,CESSNA T303,TSIO-520-AE,2,PA34,,P,TSIO-520-WB
C30J,C130J 30,AE2100-D3,4,C30J,,T,BIZLIGHTPROP_F
C310,CESSNA 310R,IO-520-M,2,C310,,P,TSIO-520-WB
C320,CESSNA 320E,TSIO-470-B,2,PA34,,P,IO-540-T4A5D
C335,CESSNA 335,TSIO-520-EB,2,C340,,P,TSIO-520-WB
C337,CESSNA 337F,IO-360-C,2,DA42,,P,IO-360-A1B6
C340,CESSNA 340A,TSIO-520-NB,2,C340,,P,TSIO-520-WB
C402,CESSNA 402B,TSIO-520-E,2,C402,,P,TSIO-520-WB
C404,CESSNA 404 II,GTSIO-520-M,2,C421,,P,TSIO-520-WB
C408,CESSNA 408,PT6A-65SC,2,AN38,,T,PT6A-65R
C411,CESSNA 411A,GTSIO-520-C,2,C402,,P,TSIO-520-WB
C414,CESSNA 414A,TSIO-520-NB,2,C414,,P,TSIO-520-WB
C421,CESSNA 421C,GTSIO-520-N,2,C421,,P,TSIO-520-WB
C425,CESSNA 425,PT6A-112,2,F406,,T,PT6A-112
C441,CESSNA 441,TPE331-8-401S,2,PAY3,,T,TPE331-8
C500,CESSNA 500,JT15D-1,2,C551,,J,1PW035
C501,CESSNA 501,JT15D-1A,2,C551,,J,1PW035
C510,CESSNA 510 MUSTANG,PW615F-A,2,C510,,J,PW610F
C525,CESSNA 525,FJ44-1A,2,C525,,J,1AS001
C550,CESSNA 550 BRAVO,PW530A,2,C550,,J,PW530
C551,CESSNA 551,JT15D-4,2,C551,,J,1PW036
C560,CESSNA 560 ENCORE,PW535B,2,C560,,J,PW530
C56X,CESSNA 560 XLS,PW545B,2,C56X,,J,PW530
C650,CESSNA 650,TFE731-3B-100S,2,C650,,J,1AS002
C680,CESSNA 680 SOVEREIGN,PW306C,2,C680,,J,7PW078
C68A,CESSNA 680 LATITUDE,PW306C,2,C680,,J,7PW078
