ENGINE_ID,ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
1PW033,DC10,DC10 40D F,JT9D-59A,3,DC10,,J
1PW034,B742,B747 2R7F,JT9D-70A,4,B742,B742RR,J
1PW035,C500,CESSNA 500,JT15D-1,2,C551,,J
1PW035,C501,CESSNA 501,JT15D-1A,2,C551,,J
1PW036,C550,CESSNA 550,JT15D-4,2,C550,,J
1PW036,C551,CESSNA 551,JT15D-4,2,C551,,J
1PW036,MU30,MU300 1,JT15D-4,2,BE40,,J
1PW036,S601,SN601 CORVETTE,JT15D-4,2,C550,,J
1PW037,BE40,HAWKER 400XP,JT15D-5,2,BE40,,J
1PW037,C560,CESSNA 560,JT15D-5A,2,C560,,J
1PW037,SBR1,SABRE CT39G,JT12A-8A,2,SBR1,,J
1PW042,B744,B747 412F,PW4056,4,B744,B744GE,J
1PW042,B762,B767 284 ER,PW4056,2,B762,B762ERPW56,J
1PW042,B763,B767 322 ER WL,PW4052,2,B763,B763ERGE61,J
1PW042,BLCF,B747 409 LCF,PW4056,4,A346,,J
1PW045,A310,A310 324,PW4152,2,A310,A310-324,J
1PW047,A310,A310 325ET,PW4156A,2,A310,A310-324,J
1PW048,A306,A300B4 622R F,PW4158,2,A306,A300B4-622,J
1PW052,MD11,MD11 F,PW4460,3,MD11,,J
1RR001,VF14,VFW614,M45H MK.501,2,E135,,J
1RR002,L101,L1011 100,RB211-22B,3,L101,,J
1RR005,L101,L1011 KC2,RB211-524,3,L101,,J
1RR006,B741,B747 168B,RB211-524C2,4,B742,,J
1RR006,B742,B747 236B F SCD,RB211-524C2,4,B742,B742RR,J
1RR006,B74S,B747SP 68,RB211-524C2,4,B742,,J
1RR007,B742,B747 236B F,RB211-524D4,4,B742,B742RR,J
1RR007,B743,B747 367,RB211-524D4,4,B743,B743PW,J
1RR007,B744,B747 E 4B,UNKNOWN,4,B744,B742RR,J
1RR007,B74S,B747SP 31,RB211-524D4,4,B742,,J
1RR010,B744,B747 419 BDSF,RB211-524G,4,B744,B744GE,J
1RR011,B744,B747 467F SCD,RB211-524H,4,B744,B744GE,J
1RR011,B763,B767 336 ER,RB211-524H,2,B763,B763ERGE61,J
1RR012,B752,B757 236 SF,RB211-535C,2,B752,B752WRR40,J
1RR020,F100,FOKKER 100,TAY 620-15,2,F100,F100-620,J
1RR020,F70,FOKKER 70,TAY 620-15,2,F70,F70-620,J
1TL001,CL60,CL600 1A11 CL600S,ALF502L-2,2,CL60,,J
1TL003,B461,BAE146 100,LF502R-5,4,B462,,J
1TL003,B462,BAE146 200,LF502R-5,4,B462,,J
1TL003,B463,BAE146 301ARA,LF502R-5,4,B463,,J
1TL003,RJ85,BAE146 RJ85,LF502R-5,4,RJ85,,J
1TL004,B463,BAE146 300,LF507-1H,4,B463,,J
1TL004,RJ1H,BAE146 RJ100,LF507-1F,4,RJ1H,,J
1TL004,RJ70,BAE146 RJ70 ER,LF507-1F,4,RJ85,,J
1TL004,RJ85,BAE146 RJ85,LF507-1F,4,RJ85,,J
1ZM001,A124,AN124 100,D-18T,4,A124,,J
